snapshot_date,rank,score,delta,best_score_time,daily_top_score,gap_to_top
2026-04-30,68,0.81633,-26,2026-04-28 22:12:14,0.82879,0.01246
2026-05-01,46,0.82198,22,2026-04-29 22:22:25,0.82879,0.00681
2026-05-02,59,0.8223,-13,2026-04-30 16:12:50,0.82967,0.00737
2026-05-03,26,0.82591,33,2026-05-01 20:55:16,0.83113,0.00522
2026-05-04,33,0.82591,-7,2026-05-01 20:55:16,0.83113,0.00522
2026-05-05,39,0.82591,-6,2026-05-01 20:55:16,0.83113,0.00522
2026-05-06,55,0.82591,-16,2026-05-01 20:55:16,0.83221,0.0063
2026-05-07,70,0.82591,-15,2026-05-01 20:55:16,0.83221,0.0063
2026-05-08,90,0.82591,-20,2026-05-01 20:55:16,0.83221,0.0063
2026-05-09,107,0.82625,-17,2026-05-08 03:57:42,0.83221,0.00596
2026-05-10,130,0.82625,-23,2026-05-08 03:57:42,0.83221,0.00596
2026-05-11,166,0.82625,-36,2026-05-08 03:57:42,0.83221,0.00596
2026-05-12,192,0.82625,-26,2026-05-08 03:57:42,0.834,0.00775
2026-05-13,212,0.82625,-20,2026-05-08 03:57:42,0.834,0.00775
2026-05-14,242,0.82625,-30,2026-05-08 03:57:42,0.83651,0.01026
2026-05-15,264,0.82625,-22,2026-05-08 03:57:42,0.83651,0.01026
2026-05-16,284,0.82625,-20,2026-05-08 03:57:42,0.83651,0.01026
2026-05-17,315,0.82625,-31,2026-05-08 03:57:42,0.83651,0.01026
2026-05-18,328,0.82625,-13,2026-05-08 03:57:42,0.83651,0.01026
2026-05-19,183,0.82854,145,2026-05-18 14:18:39,0.83651,0.00797
2026-05-20,203,0.82854,-20,2026-05-18 14:18:39,0.83651,0.00797
2026-05-21,214,0.82862,-11,2026-05-19 16:02:48,0.83828,0.00966
2026-05-22,236,0.82862,-31,2026-05-19 16:02:48,0.83828,0.00966
2026-05-23,267,0.82862,-31,2026-05-19 16:02:48,0.83828,0.00966
